curve_level_data,,,,,,,,,,,,,,
plant_id,treatment,id,leaf_temp,Tleaf_mean,Tleaf_sd,Tleaf_min,Tleaf_max,Tk,obs_vcmax,obs_jmax,obs_Vcmax25,obs_Jmax25,n_Aci_points,Tleaf_range
17D,37,17D_35,35,31.40807237,0.078856583,31.31946154,31.61831538,304.5580724,237.3501057,270.2306803,117.7117571,217.203426,96,0.298853846
18D,37,18D_20,20,24.8139198,0.147898602,24.56033077,25.04369231,297.9639198,59.36703073,90.29054874,60.6157205,91.07142317,96,0.483361538
18D,37,18D_25,25,28.19332146,0.051588498,28.13526923,28.30200769,301.3433215,109.3081607,111.5381494,76.78173159,97.71924436,97,0.166738462
18D,37,18D_30,30,31.0901341,0.043848911,31.02505385,31.19002308,304.2401341,129.6527102,129.870143,66.53050585,104.9605973,96,0.164969231
18D,37,18D_35,35,33.65316437,0.060064227,33.56965385,33.80287692,306.8031644,165.2876042,150.6013192,64.56143979,119.4737295,96,0.233223077
18D,37,18D_40,40,36.42252521,0.075674628,36.32096154,36.55612308,309.5725252,175.6919147,162.0670244,51.36223711,136.8889738,96,0.235161538
1D,37,1D_15,15,19.96346703,0.156454198,19.810988,20.29573333,293.113467,33.40997338,62.91014697,59.23854735,81.07664167,576,0.484745333
1D,37,1D_20,20,23.49352432,0.044766765,23.44492143,23.57719667,296.6435243,58.53891744,88.58593354,69.33561812,95.17786692,288,0.132275238
1D,37,1D_25,25,26.71770108,0.261569194,26.47421481,27.33996774,299.8677011,72.47820257,92.58925226,59.88109524,85.8752359,288,0.865752927
1D,37,1D_30,30,29.94432437,0.061807933,29.85812222,30.07701481,303.0943244,109.2527493,126.7255515,63.4305455,105.1051409,288,0.218892593
1D,37,1D_35,35,32.9637877,0.128110461,32.83007143,33.19775484,306.1137877,146.5324416,130.9198543,61.56674297,103.7323696,288,0.36768341
1D,37,1D_40,40,35.56960364,0.102578335,35.4874037,35.77235806,308.7196036,180.2960211,162.0273826,57.59632493,132.8059756,288,0.284954361
20D,37,20D_15,15,20.6928558,0.046241292,20.62114444,20.76715185,293.8428558,45.04797769,93.45770222,73.4268413,115.8626781,192,0.146007407
21D,37,21D_15,15,20.50949271,0.043657311,20.45772222,20.59724643,293.6594927,61.49897579,110.6651674,102.3807795,138.532936,192,0.139524206
21D,37,21D_25,25,26.94713381,0.119514183,26.83681111,27.20439333,300.0971338,155.5188205,188.7902957,125.2742609,173.463977,192,0.367582222
21D,37,21D_30,30,29.81105621,0.18299917,29.65498214,30.22989667,302.9610562,194.3681362,212.6675601,114.4866291,177.0163526,192,0.574914524
21D,37,21D_35,35,31.9225475,0.281931579,31.3470871,32.29733571,305.0725475,184.2883058,232.8907246,86.50287474,185.8578313,192,0.950248618
22D,37,22D_15,15,21.84733673,0.325921812,21.53707778,22.64526129,294.9973367,87.61484514,137.2139071,125.1057108,160.163794,192,1.108183513
22D,37,22D_20,20,24.53030475,0.080959211,24.45642857,24.716,297.6803048,103.6301281,160.2182379,109.2259908,163.7630433,192,0.259571429
22D,37,22D_25,25,27.40294094,0.05100912,27.3419,27.5132871,300.5529409,143.3042912,194.6149092,109.7811449,175.6069907,192,0.171387097
22D,37,22D_30,30,30.27345207,0.050182485,30.21507407,30.36412667,303.4234521,195.7955035,234.9561174,109.7042117,193.2504009,192,0.149052593
22D,37,22D_35,35,32.94689313,0.056307801,32.87415714,33.05199259,306.0968931,251.3152876,271.711809,105.7814367,215.2937638,192,0.17783545
22D,37,22D_40,40,35.36648274,0.053327281,35.29838571,35.49855357,308.5164827,315.0554874,314.8483824,102.8015511,256.6047223,192,0.200167857
23D,37,23D_15,15,23.51877164,0.310322458,23.19839231,24.17134375,296.6687716,68.51820389,97.19735655,80.92440713,104.3008429,96,0.972951442
23D,37,23D_20,20,25.44683767,0.137246453,25.32427692,25.75262,298.5968377,79.54801662,105.4181586,75.67764203,103.2950584,96,0.428343077
23D,37,23D_25,25,28.00919116,0.160186809,27.87324615,28.36226875,301.1591912,107.3827474,125.7057171,76.96554495,110.8651678,96,0.489022596
23D,37,23D_30,30,30.11137008,0.450042366,29.90792308,32.068275,303.2613701,131.1612152,148.2686251,74.78734251,122.442161,101,2.160351923
